miRNA_ID,mesh_similarity,doid_similarity
hsa-mir-200b,0.05644615631758029,0.05635741935362199
hsa-mir-21,0.03840873444757102,0.04063436193510051
hsa-mir-155,0.030974493877343648,0.03254541329619618
hsa-mir-378a,0.016790614765990964,0.01566951566951567
hsa-mir-212,0.02149996475016806,0.03821322831126753
hsa-mir-135a,0.010638297872340425,0.005165289256198347
hsa-mir-150,0.016524041876432125,0.026042702656111177
hsa-mir-146a,0.027053361640794377,0.031140228277206115
hsa-mir-195,0.04479084836227693,0.0456486855402187
hsa-mir-125b,0.008467023172905526,0.004928806133625411
hsa-mir-92a,0.008165487207403375,0.0070921985815602835
hsa-mir-126,0.05044823357013512,0.05168438528935767
hsa-mir-19a,0.029207894090622404,0.028211740795500276
hsa-mir-19b,0.008441558441558443,0.007451564828614008
hsa-mir-17,0.035248042471127124,0.03412060114045611
hsa-mir-182,0.02955136769630203,0.034932612181424384
hsa-mir-370,0.022891751374466265,0.011282270717444016
hsa-mir-20a,0.029733971964038826,0.02881109802730079
hsa-mir-27b,0.024948634954046155,0.028242851894481447
hsa-mir-191,0.028805406353285972,0.02118583495776478
hsa-mir-125a,0.019727546620954755,0.019754118217054265
hsa-mir-425,0.021735869080030626,0.023780129335684894
hsa-mir-29b,0.007575757575757575,0.005254860746190226
hsa-mir-122,0.016708061099904595,0.016459736251402915
hsa-mir-206,0.012492318864867884,0.012608151183970857
hsa-mir-200c,0.0534072647689422,0.0511102171801234
hsa-mir-199b,0.010227783911994437,0.008549427511691663
hsa-mir-96,0.038147216132749816,0.05542406253788367
hsa-mir-93,0.01864883942348731,0.01307703081232493
hsa-mir-139,0.023975548775319943,0.023464106571604314
hsa-mir-18a,0.03971791907727811,0.032471831440047755
hsa-mir-149,0.03488840727561458,0.04015325009648405
hsa-mir-23b,0.03286778510148,0.03189270185555634
hsa-mir-361,0.006183707181359763,0.0039217812477409094
hsa-mir-124,0.009090909090909092,0.007992007992007992
hsa-mir-27a,0.0398137552759982,0.03618333213315292
hsa-mir-142,0.011437054376996774,0.010185293130241385
hsa-mir-144,0.010240425485565412,0.007799237119090061
hsa-mir-221,0.02971093376096741,0.028137786279823582
hsa-mir-218,0.0112806901128069,0.007177033492822966
hsa-mir-449a,0.023129168989636587,0.02850676178330411
hsa-mir-34a,0.04904171303744342,0.05628816045274866
hsa-mir-4a,0.0,0.0
hsa-mir-132,0.05124291772898584,0.057635578117029004
hsa-mir-181c,0.024666607700376764,0.031233145939028293
hsa-mir-338,0.01904365786718728,0.0158195719612697
hsa-mir-181a,0.007711038961038961,0.004203888596952181
hsa-mir-22,0.0416570958789521,0.04417899097537655
hsa-mir-29a,0.048404634021418536,0.04825796557611458
hsa-mir-223,0.016167585440461256,0.014439836489052517
hsa-mir-203a,0.02718274947656391,0.029935527223856742
hsa-mir-9,0.012202562538133009,0.007352941176470589
hsa-mir-199a,0.0035750766087844737,0.002560819462227913
hsa-mir-130b,0.025079444015931655,0.02447458539849844
hsa-mir-7,0.010606060606060607,0.007792207792207792
hsa-mir-29,0.0,0.0
hsa-mir-204,0.026127570137788866,0.027417555170352933
hsa-mir-143,0.03572378148021023,0.03234112237607655
hsa-mir-15b,0.02924486786639708,0.039771507169175914
hsa-mir-192,0.0257269224906972,0.01951123096802192
hsa-mir-181b,0.009427609427609427,0.004784688995215311
hsa-mir-185,0.028740361470969436,0.02678942789236907
hsa-mir-16,0.009389671361502348,0.005681818181818182
hsa-mir-222,0.02567540428248232,0.022474701058930447
hsa-mir-25,0.02944178689335172,0.030737862045051585
