miRNet_ID,miRBase_acc,miRNA_ID,lncRNA_gene ,lncRNA_entrez,lncRNA_embl
miRNet-lnc-1,MIMAT0000062,hsa-let-7a-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-2,MIMAT0000062,hsa-let-7a-5p,SNHG12,85028,ENSG00000197989
miRNet-lnc-3,MIMAT0000062,hsa-let-7a-5p,MIR29B2CHG,100128537,ENSG00000203709
miRNet-lnc-4,MIMAT0000062,hsa-let-7a-5p,LINC01806,100996579,ENSG00000227403
miRNet-lnc-5,MIMAT0000062,hsa-let-7a-5p,LMCD1-AS1,100288428,ENSG00000227110
miRNet-lnc-6,MIMAT0000062,hsa-let-7a-5p,MUC20-OT1,111753249,ENSG00000242086
miRNet-lnc-7,MIMAT0000062,hsa-let-7a-5p,LINC00885,401109,ENSG00000224652
miRNet-lnc-8,MIMAT0000062,hsa-let-7a-5p,LINC02432,100507639,ENSG00000248810
miRNet-lnc-9,MIMAT0000062,hsa-let-7a-5p,SLC9A3-AS1,100288152,ENSG00000225138
miRNet-lnc-10,MIMAT0000062,hsa-let-7a-5p,LINC02242,105379006,ENSG00000249736
miRNet-lnc-11,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-12,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-13,MIMAT0000062,hsa-let-7a-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-14,MIMAT0000062,hsa-let-7a-5p,CARMN,728264,ENSG00000249669
miRNet-lnc-15,MIMAT0000062,hsa-let-7a-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-16,MIMAT0000062,hsa-let-7a-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-17,MIMAT0000062,hsa-let-7a-5p,HCG18,414777,ENSG00000231074
miRNet-lnc-18,MIMAT0000062,hsa-let-7a-5p,IER3-AS1,105379695,ENSG00000272273
miRNet-lnc-19,MIMAT0000062,hsa-let-7a-5p,HOXA11-AS,221883,ENSG00000240990
miRNet-lnc-20,MIMAT0000062,hsa-let-7a-5p,TRG-AS1,100506776,ENSG00000281103
miRNet-lnc-21,MIMAT0000062,hsa-let-7a-5p,LINC00265,349114,ENSG00000188185
miRNet-lnc-22,MIMAT0000062,hsa-let-7a-5p,STAG3L5P-PVRIG2P-PILRB,101752399,ENSG00000272752
miRNet-lnc-23,MIMAT0000062,hsa-let-7a-5p,CDKN2B-AS1,100048912,ENSG00000240498
miRNet-lnc-24,MIMAT0000062,hsa-let-7a-5p,LINC00963,100506190,ENSG00000204054
miRNet-lnc-25,MIMAT0000062,hsa-let-7a-5p,NUTM2A-AS1,728190,ENSG00000223482
miRNet-lnc-26,MIMAT0000062,hsa-let-7a-5p,OLMALINC,90271,ENSG00000235823
miRNet-lnc-27,MIMAT0000062,hsa-let-7a-5p,RPARP-AS1,100505761,ENSG00000269609
miRNet-lnc-28,MIMAT0000062,hsa-let-7a-5p,LINC01001,100133161,ENSG00000230724
miRNet-lnc-29,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-30,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-31,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-32,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-33,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-34,MIMAT0000062,hsa-let-7a-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-35,MIMAT0000062,hsa-let-7a-5p,LINC00294,283267,ENSG00000280798
miRNet-lnc-36,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-37,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-38,MIMAT0000062,hsa-let-7a-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-39,MIMAT0000062,hsa-let-7a-5p,LINC02381,400043,ENSG00000250742
miRNet-lnc-40,MIMAT0000062,hsa-let-7a-5p,TMPO-AS1,100128191,ENSG00000257167
miRNet-lnc-41,MIMAT0000062,hsa-let-7a-5p,HELLPAR,101101692,ENSG00000281344
miRNet-lnc-42,MIMAT0000062,hsa-let-7a-5p,G2E3-AS1,105370431,ENSG00000257636
miRNet-lnc-43,MIMAT0000062,hsa-let-7a-5p,VASH1-AS1,100506603,ENSG00000258301
miRNet-lnc-44,MIMAT0000062,hsa-let-7a-5p,MEG8,79104,ENSG00000225746
miRNet-lnc-45,MIMAT0000062,hsa-let-7a-5p,OIP5-AS1,729082,ENSG00000247556
miRNet-lnc-46,MIMAT0000062,hsa-let-7a-5p,IQCH-AS1,100506686,ENSG00000259673
miRNet-lnc-47,MIMAT0000062,hsa-let-7a-5p,DRAIC,145837,ENSG00000245750
miRNet-lnc-48,MIMAT0000062,hsa-let-7a-5p,THSD4-AS1,101929196,ENSG00000259964
miRNet-lnc-49,MIMAT0000062,hsa-let-7a-5p,UBL7-AS1,440288,ENSG00000247240
miRNet-lnc-50,MIMAT0000062,hsa-let-7a-5p,ARHGAP27P1-BPTFP1-KPNA2P3,109286553,ENSG00000215769
miRNet-lnc-51,MIMAT0000062,hsa-let-7a-5p,SNHG16,100507246,ENSG00000163597
miRNet-lnc-52,MIMAT0000062,hsa-let-7a-5p,LINC01978,101928738,ENSG00000262188
miRNet-lnc-53,MIMAT0000062,hsa-let-7a-5p,TMEM147-AS1,100506469,ENSG00000236144
miRNet-lnc-54,MIMAT0000062,hsa-let-7a-5p,LINC00665,100506930,ENSG00000232677
miRNet-lnc-55,MIMAT0000062,hsa-let-7a-5p,ZNF571-AS1,100507433,ENSG00000267470
miRNet-lnc-56,MIMAT0000062,hsa-let-7a-5p,ZNF337-AS1,102724826,ENSG00000213742
miRNet-lnc-57,MIMAT0000062,hsa-let-7a-5p,MIR99AHG,388815,ENSG00000215386
miRNet-lnc-58,MIMAT0000062,hsa-let-7a-5p,LINC01678,105377138,ENSG00000225331
miRNet-lnc-59,MIMAT0000062,hsa-let-7a-5p,TTC28-AS1,284900,ENSG00000235954
miRNet-lnc-60,MIMAT0000062,hsa-let-7a-5p,MIRLET7BHG,400931,ENSG00000197182
miRNet-lnc-61,MIMAT0000062,hsa-let-7a-5p,XIST,7503,ENSG00000229807
miRNet-lnc-62,MIMAT0000062,hsa-let-7a-5p,XIST,7503,ENSG00000229807
miRNet-lnc-63,MIMAT0000062,hsa-let-7a-5p,XIST,7503,ENSG00000229807
miRNet-lnc-64,MIMAT0000062,hsa-let-7a-5p,XIST,7503,ENSG00000229807
miRNet-lnc-65,MIMAT0000062,hsa-let-7a-5p,LINC00894,100272228,ENSG00000235703
miRNet-lnc-66,MIMAT0000062,hsa-let-7a-5p,TTTY15,64595,ENSG00000233864
miRNet-lnc-67,MIMAT0000063,hsa-let-7b-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-68,MIMAT0000063,hsa-let-7b-5p,SNHG12,85028,ENSG00000197989
miRNet-lnc-69,MIMAT0000063,hsa-let-7b-5p,MIR29B2CHG,100128537,ENSG00000203709
miRNet-lnc-70,MIMAT0000063,hsa-let-7b-5p,LINC01806,100996579,ENSG00000227403
miRNet-lnc-71,MIMAT0000063,hsa-let-7b-5p,LMCD1-AS1,100288428,ENSG00000227110
miRNet-lnc-72,MIMAT0000063,hsa-let-7b-5p,MUC20-OT1,111753249,ENSG00000242086
miRNet-lnc-73,MIMAT0000063,hsa-let-7b-5p,LINC00885,401109,ENSG00000224652
miRNet-lnc-74,MIMAT0000063,hsa-let-7b-5p,LINC02432,100507639,ENSG00000248810
miRNet-lnc-75,MIMAT0000063,hsa-let-7b-5p,SLC9A3-AS1,100288152,ENSG00000225138
miRNet-lnc-76,MIMAT0000063,hsa-let-7b-5p,LINC02242,105379006,ENSG00000249736
miRNet-lnc-77,MIMAT0000063,hsa-let-7b-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-78,MIMAT0000063,hsa-let-7b-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-79,MIMAT0000063,hsa-let-7b-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-80,MIMAT0000063,hsa-let-7b-5p,CARMN,728264,ENSG00000249669
miRNet-lnc-81,MIMAT0000063,hsa-let-7b-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-82,MIMAT0000063,hsa-let-7b-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-83,MIMAT0000063,hsa-let-7b-5p,HCG18,414777,ENSG00000231074
miRNet-lnc-84,MIMAT0000063,hsa-let-7b-5p,IER3-AS1,105379695,ENSG00000272273
miRNet-lnc-85,MIMAT0000063,hsa-let-7b-5p,HOXA11-AS,221883,ENSG00000240990
miRNet-lnc-86,MIMAT0000063,hsa-let-7b-5p,TRG-AS1,100506776,ENSG00000281103
miRNet-lnc-87,MIMAT0000063,hsa-let-7b-5p,LINC00265,349114,ENSG00000188185
miRNet-lnc-88,MIMAT0000063,hsa-let-7b-5p,STAG3L5P-PVRIG2P-PILRB,101752399,ENSG00000272752
miRNet-lnc-89,MIMAT0000063,hsa-let-7b-5p,CDKN2B-AS1,100048912,ENSG00000240498
miRNet-lnc-90,MIMAT0000063,hsa-let-7b-5p,LINC00963,100506190,ENSG00000204054
miRNet-lnc-91,MIMAT0000063,hsa-let-7b-5p,NUTM2A-AS1,728190,ENSG00000223482
miRNet-lnc-92,MIMAT0000063,hsa-let-7b-5p,OLMALINC,90271,ENSG00000235823
miRNet-lnc-93,MIMAT0000063,hsa-let-7b-5p,RPARP-AS1,100505761,ENSG00000269609
miRNet-lnc-94,MIMAT0000063,hsa-let-7b-5p,LINC01001,100133161,ENSG00000230724
miRNet-lnc-95,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-96,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-97,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-98,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-99,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-100,MIMAT0000063,hsa-let-7b-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-101,MIMAT0000063,hsa-let-7b-5p,LINC00294,283267,ENSG00000280798
miRNet-lnc-102,MIMAT0000063,hsa-let-7b-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-103,MIMAT0000063,hsa-let-7b-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-104,MIMAT0000063,hsa-let-7b-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-105,MIMAT0000063,hsa-let-7b-5p,LINC02381,400043,ENSG00000250742
miRNet-lnc-106,MIMAT0000063,hsa-let-7b-5p,TMPO-AS1,100128191,ENSG00000257167
miRNet-lnc-107,MIMAT0000063,hsa-let-7b-5p,HELLPAR,101101692,ENSG00000281344
miRNet-lnc-108,MIMAT0000063,hsa-let-7b-5p,G2E3-AS1,105370431,ENSG00000257636
miRNet-lnc-109,MIMAT0000063,hsa-let-7b-5p,VASH1-AS1,100506603,ENSG00000258301
miRNet-lnc-110,MIMAT0000063,hsa-let-7b-5p,MEG8,79104,ENSG00000225746
miRNet-lnc-111,MIMAT0000063,hsa-let-7b-5p,OIP5-AS1,729082,ENSG00000247556
miRNet-lnc-112,MIMAT0000063,hsa-let-7b-5p,IQCH-AS1,100506686,ENSG00000259673
miRNet-lnc-113,MIMAT0000063,hsa-let-7b-5p,DRAIC,145837,ENSG00000245750
miRNet-lnc-114,MIMAT0000063,hsa-let-7b-5p,THSD4-AS1,101929196,ENSG00000259964
miRNet-lnc-115,MIMAT0000063,hsa-let-7b-5p,UBL7-AS1,440288,ENSG00000247240
miRNet-lnc-116,MIMAT0000063,hsa-let-7b-5p,ARHGAP27P1-BPTFP1-KPNA2P3,109286553,ENSG00000215769
miRNet-lnc-117,MIMAT0000063,hsa-let-7b-5p,SNHG16,100507246,ENSG00000163597
miRNet-lnc-118,MIMAT0000063,hsa-let-7b-5p,LINC01978,101928738,ENSG00000262188
miRNet-lnc-119,MIMAT0000063,hsa-let-7b-5p,TMEM147-AS1,100506469,ENSG00000236144
miRNet-lnc-120,MIMAT0000063,hsa-let-7b-5p,LINC00665,100506930,ENSG00000232677
miRNet-lnc-121,MIMAT0000063,hsa-let-7b-5p,ZNF571-AS1,100507433,ENSG00000267470
miRNet-lnc-122,MIMAT0000063,hsa-let-7b-5p,ZNF337-AS1,102724826,ENSG00000213742
miRNet-lnc-123,MIMAT0000063,hsa-let-7b-5p,MIR99AHG,388815,ENSG00000215386
miRNet-lnc-124,MIMAT0000063,hsa-let-7b-5p,LINC01678,105377138,ENSG00000225331
miRNet-lnc-125,MIMAT0000063,hsa-let-7b-5p,TTC28-AS1,284900,ENSG00000235954
miRNet-lnc-126,MIMAT0000063,hsa-let-7b-5p,MIRLET7BHG,400931,ENSG00000197182
miRNet-lnc-127,MIMAT0000063,hsa-let-7b-5p,XIST,7503,ENSG00000229807
miRNet-lnc-128,MIMAT0000063,hsa-let-7b-5p,XIST,7503,ENSG00000229807
miRNet-lnc-129,MIMAT0000063,hsa-let-7b-5p,XIST,7503,ENSG00000229807
miRNet-lnc-130,MIMAT0000063,hsa-let-7b-5p,XIST,7503,ENSG00000229807
miRNet-lnc-131,MIMAT0000063,hsa-let-7b-5p,LINC00894,100272228,ENSG00000235703
miRNet-lnc-132,MIMAT0000063,hsa-let-7b-5p,TTTY15,64595,ENSG00000233864
miRNet-lnc-133,MIMAT0000064,hsa-let-7c-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-134,MIMAT0000064,hsa-let-7c-5p,SNHG12,85028,ENSG00000197989
miRNet-lnc-135,MIMAT0000064,hsa-let-7c-5p,MIR29B2CHG,100128537,ENSG00000203709
miRNet-lnc-136,MIMAT0000064,hsa-let-7c-5p,LINC01806,100996579,ENSG00000227403
miRNet-lnc-137,MIMAT0000064,hsa-let-7c-5p,LMCD1-AS1,100288428,ENSG00000227110
miRNet-lnc-138,MIMAT0000064,hsa-let-7c-5p,MUC20-OT1,111753249,ENSG00000242086
miRNet-lnc-139,MIMAT0000064,hsa-let-7c-5p,LINC00885,401109,ENSG00000224652
miRNet-lnc-140,MIMAT0000064,hsa-let-7c-5p,LINC02432,100507639,ENSG00000248810
miRNet-lnc-141,MIMAT0000064,hsa-let-7c-5p,SLC9A3-AS1,100288152,ENSG00000225138
miRNet-lnc-142,MIMAT0000064,hsa-let-7c-5p,LINC02242,105379006,ENSG00000249736
miRNet-lnc-143,MIMAT0000064,hsa-let-7c-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-144,MIMAT0000064,hsa-let-7c-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-145,MIMAT0000064,hsa-let-7c-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-146,MIMAT0000064,hsa-let-7c-5p,CARMN,728264,ENSG00000249669
miRNet-lnc-147,MIMAT0000064,hsa-let-7c-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-148,MIMAT0000064,hsa-let-7c-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-149,MIMAT0000064,hsa-let-7c-5p,HCG18,414777,ENSG00000231074
miRNet-lnc-150,MIMAT0000064,hsa-let-7c-5p,IER3-AS1,105379695,ENSG00000272273
miRNet-lnc-151,MIMAT0000064,hsa-let-7c-5p,HOXA11-AS,221883,ENSG00000240990
miRNet-lnc-152,MIMAT0000064,hsa-let-7c-5p,TRG-AS1,100506776,ENSG00000281103
miRNet-lnc-153,MIMAT0000064,hsa-let-7c-5p,LINC00265,349114,ENSG00000188185
miRNet-lnc-154,MIMAT0000064,hsa-let-7c-5p,STAG3L5P-PVRIG2P-PILRB,101752399,ENSG00000272752
miRNet-lnc-155,MIMAT0000064,hsa-let-7c-5p,CDKN2B-AS1,100048912,ENSG00000240498
miRNet-lnc-156,MIMAT0000064,hsa-let-7c-5p,LINC00963,100506190,ENSG00000204054
miRNet-lnc-157,MIMAT0000064,hsa-let-7c-5p,NUTM2A-AS1,728190,ENSG00000223482
miRNet-lnc-158,MIMAT0000064,hsa-let-7c-5p,OLMALINC,90271,ENSG00000235823
miRNet-lnc-159,MIMAT0000064,hsa-let-7c-5p,RPARP-AS1,100505761,ENSG00000269609
miRNet-lnc-160,MIMAT0000064,hsa-let-7c-5p,LINC01001,100133161,ENSG00000230724
miRNet-lnc-161,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-162,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-163,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-164,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-165,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-166,MIMAT0000064,hsa-let-7c-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-167,MIMAT0000064,hsa-let-7c-5p,LINC00294,283267,ENSG00000280798
miRNet-lnc-168,MIMAT0000064,hsa-let-7c-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-169,MIMAT0000064,hsa-let-7c-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-170,MIMAT0000064,hsa-let-7c-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-171,MIMAT0000064,hsa-let-7c-5p,LINC02381,400043,ENSG00000250742
miRNet-lnc-172,MIMAT0000064,hsa-let-7c-5p,TMPO-AS1,100128191,ENSG00000257167
miRNet-lnc-173,MIMAT0000064,hsa-let-7c-5p,HELLPAR,101101692,ENSG00000281344
miRNet-lnc-174,MIMAT0000064,hsa-let-7c-5p,G2E3-AS1,105370431,ENSG00000257636
miRNet-lnc-175,MIMAT0000064,hsa-let-7c-5p,VASH1-AS1,100506603,ENSG00000258301
miRNet-lnc-176,MIMAT0000064,hsa-let-7c-5p,MEG8,79104,ENSG00000225746
miRNet-lnc-177,MIMAT0000064,hsa-let-7c-5p,OIP5-AS1,729082,ENSG00000247556
miRNet-lnc-178,MIMAT0000064,hsa-let-7c-5p,IQCH-AS1,100506686,ENSG00000259673
miRNet-lnc-179,MIMAT0000064,hsa-let-7c-5p,DRAIC,145837,ENSG00000245750
miRNet-lnc-180,MIMAT0000064,hsa-let-7c-5p,THSD4-AS1,101929196,ENSG00000259964
miRNet-lnc-181,MIMAT0000064,hsa-let-7c-5p,UBL7-AS1,440288,ENSG00000247240
miRNet-lnc-182,MIMAT0000064,hsa-let-7c-5p,ARHGAP27P1-BPTFP1-KPNA2P3,109286553,ENSG00000215769
miRNet-lnc-183,MIMAT0000064,hsa-let-7c-5p,SNHG16,100507246,ENSG00000163597
miRNet-lnc-184,MIMAT0000064,hsa-let-7c-5p,LINC01978,101928738,ENSG00000262188
miRNet-lnc-185,MIMAT0000064,hsa-let-7c-5p,TMEM147-AS1,100506469,ENSG00000236144
miRNet-lnc-186,MIMAT0000064,hsa-let-7c-5p,LINC00665,100506930,ENSG00000232677
miRNet-lnc-187,MIMAT0000064,hsa-let-7c-5p,ZNF571-AS1,100507433,ENSG00000267470
miRNet-lnc-188,MIMAT0000064,hsa-let-7c-5p,ZNF337-AS1,102724826,ENSG00000213742
miRNet-lnc-189,MIMAT0000064,hsa-let-7c-5p,MIR99AHG,388815,ENSG00000215386
miRNet-lnc-190,MIMAT0000064,hsa-let-7c-5p,LINC01678,105377138,ENSG00000225331
miRNet-lnc-191,MIMAT0000064,hsa-let-7c-5p,TTC28-AS1,284900,ENSG00000235954
miRNet-lnc-192,MIMAT0000064,hsa-let-7c-5p,MIRLET7BHG,400931,ENSG00000197182
miRNet-lnc-193,MIMAT0000064,hsa-let-7c-5p,XIST,7503,ENSG00000229807
miRNet-lnc-194,MIMAT0000064,hsa-let-7c-5p,XIST,7503,ENSG00000229807
miRNet-lnc-195,MIMAT0000064,hsa-let-7c-5p,XIST,7503,ENSG00000229807
miRNet-lnc-196,MIMAT0000064,hsa-let-7c-5p,XIST,7503,ENSG00000229807
miRNet-lnc-197,MIMAT0000064,hsa-let-7c-5p,LINC00894,100272228,ENSG00000235703
miRNet-lnc-198,MIMAT0000064,hsa-let-7c-5p,TTTY15,64595,ENSG00000233864
miRNet-lnc-199,MIMAT0000065,hsa-let-7d-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-200,MIMAT0000065,hsa-let-7d-5p,SNHG12,85028,ENSG00000197989
miRNet-lnc-201,MIMAT0000065,hsa-let-7d-5p,MIR29B2CHG,100128537,ENSG00000203709
miRNet-lnc-202,MIMAT0000065,hsa-let-7d-5p,LINC01806,100996579,ENSG00000227403
miRNet-lnc-203,MIMAT0000065,hsa-let-7d-5p,LMCD1-AS1,100288428,ENSG00000227110
miRNet-lnc-204,MIMAT0000065,hsa-let-7d-5p,MUC20-OT1,111753249,ENSG00000242086
miRNet-lnc-205,MIMAT0000065,hsa-let-7d-5p,LINC00885,401109,ENSG00000224652
miRNet-lnc-206,MIMAT0000065,hsa-let-7d-5p,LINC02432,100507639,ENSG00000248810
miRNet-lnc-207,MIMAT0000065,hsa-let-7d-5p,SLC9A3-AS1,100288152,ENSG00000225138
miRNet-lnc-208,MIMAT0000065,hsa-let-7d-5p,LINC02242,105379006,ENSG00000249736
miRNet-lnc-209,MIMAT0000065,hsa-let-7d-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-210,MIMAT0000065,hsa-let-7d-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-211,MIMAT0000065,hsa-let-7d-5p,SNHG4,724102,ENSG00000281398
miRNet-lnc-212,MIMAT0000065,hsa-let-7d-5p,CARMN,728264,ENSG00000249669
miRNet-lnc-213,MIMAT0000065,hsa-let-7d-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-214,MIMAT0000065,hsa-let-7d-5p,HEIH,100859930,ENSG00000278970
miRNet-lnc-215,MIMAT0000065,hsa-let-7d-5p,HCG18,414777,ENSG00000231074
miRNet-lnc-216,MIMAT0000065,hsa-let-7d-5p,IER3-AS1,105379695,ENSG00000272273
miRNet-lnc-217,MIMAT0000065,hsa-let-7d-5p,HOXA11-AS,221883,ENSG00000240990
miRNet-lnc-218,MIMAT0000065,hsa-let-7d-5p,TRG-AS1,100506776,ENSG00000281103
miRNet-lnc-219,MIMAT0000065,hsa-let-7d-5p,LINC00265,349114,ENSG00000188185
miRNet-lnc-220,MIMAT0000065,hsa-let-7d-5p,STAG3L5P-PVRIG2P-PILRB,101752399,ENSG00000272752
miRNet-lnc-221,MIMAT0000065,hsa-let-7d-5p,CDKN2B-AS1,100048912,ENSG00000240498
miRNet-lnc-222,MIMAT0000065,hsa-let-7d-5p,LINC00963,100506190,ENSG00000204054
miRNet-lnc-223,MIMAT0000065,hsa-let-7d-5p,NUTM2A-AS1,728190,ENSG00000223482
miRNet-lnc-224,MIMAT0000065,hsa-let-7d-5p,OLMALINC,90271,ENSG00000235823
miRNet-lnc-225,MIMAT0000065,hsa-let-7d-5p,RPARP-AS1,100505761,ENSG00000269609
miRNet-lnc-226,MIMAT0000065,hsa-let-7d-5p,LINC01001,100133161,ENSG00000230724
miRNet-lnc-227,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-228,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-229,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-230,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-231,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-232,MIMAT0000065,hsa-let-7d-5p,KCNQ1OT1,10984,ENSG00000269821
miRNet-lnc-233,MIMAT0000065,hsa-let-7d-5p,LINC00294,283267,ENSG00000280798
miRNet-lnc-234,MIMAT0000065,hsa-let-7d-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-235,MIMAT0000065,hsa-let-7d-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-236,MIMAT0000065,hsa-let-7d-5p,NEAT1,283131,ENSG00000245532
miRNet-lnc-237,MIMAT0000065,hsa-let-7d-5p,LINC02381,400043,ENSG00000250742
miRNet-lnc-238,MIMAT0000065,hsa-let-7d-5p,TMPO-AS1,100128191,ENSG00000257167
miRNet-lnc-239,MIMAT0000065,hsa-let-7d-5p,HELLPAR,101101692,ENSG00000281344
miRNet-lnc-240,MIMAT0000065,hsa-let-7d-5p,G2E3-AS1,105370431,ENSG00000257636
miRNet-lnc-241,MIMAT0000065,hsa-let-7d-5p,VASH1-AS1,100506603,ENSG00000258301
miRNet-lnc-242,MIMAT0000065,hsa-let-7d-5p,MEG8,79104,ENSG00000225746
miRNet-lnc-243,MIMAT0000065,hsa-let-7d-5p,OIP5-AS1,729082,ENSG00000247556
miRNet-lnc-244,MIMAT0000065,hsa-let-7d-5p,IQCH-AS1,100506686,ENSG00000259673
miRNet-lnc-245,MIMAT0000065,hsa-let-7d-5p,DRAIC,145837,ENSG00000245750
miRNet-lnc-246,MIMAT0000065,hsa-let-7d-5p,THSD4-AS1,101929196,ENSG00000259964
miRNet-lnc-247,MIMAT0000065,hsa-let-7d-5p,UBL7-AS1,440288,ENSG00000247240
miRNet-lnc-248,MIMAT0000065,hsa-let-7d-5p,ARHGAP27P1-BPTFP1-KPNA2P3,109286553,ENSG00000215769
miRNet-lnc-249,MIMAT0000065,hsa-let-7d-5p,SNHG16,100507246,ENSG00000163597
miRNet-lnc-250,MIMAT0000065,hsa-let-7d-5p,LINC01978,101928738,ENSG00000262188
miRNet-lnc-251,MIMAT0000065,hsa-let-7d-5p,TMEM147-AS1,100506469,ENSG00000236144
miRNet-lnc-252,MIMAT0000065,hsa-let-7d-5p,LINC00665,100506930,ENSG00000232677
miRNet-lnc-253,MIMAT0000065,hsa-let-7d-5p,ZNF571-AS1,100507433,ENSG00000267470
miRNet-lnc-254,MIMAT0000065,hsa-let-7d-5p,ZNF337-AS1,102724826,ENSG00000213742
miRNet-lnc-255,MIMAT0000065,hsa-let-7d-5p,MIR99AHG,388815,ENSG00000215386
miRNet-lnc-256,MIMAT0000065,hsa-let-7d-5p,LINC01678,105377138,ENSG00000225331
miRNet-lnc-257,MIMAT0000065,hsa-let-7d-5p,TTC28-AS1,284900,ENSG00000235954
miRNet-lnc-258,MIMAT0000065,hsa-let-7d-5p,MIRLET7BHG,400931,ENSG00000197182
miRNet-lnc-259,MIMAT0000065,hsa-let-7d-5p,XIST,7503,ENSG00000229807
miRNet-lnc-260,MIMAT0000065,hsa-let-7d-5p,XIST,7503,ENSG00000229807
miRNet-lnc-261,MIMAT0000065,hsa-let-7d-5p,XIST,7503,ENSG00000229807
miRNet-lnc-262,MIMAT0000065,hsa-let-7d-5p,XIST,7503,ENSG00000229807
miRNet-lnc-263,MIMAT0000065,hsa-let-7d-5p,LINC00894,100272228,ENSG00000235703
miRNet-lnc-264,MIMAT0000065,hsa-let-7d-5p,TTTY15,64595,ENSG00000233864
miRNet-lnc-265,MIMAT0000066,hsa-let-7e-5p,ZNF436-AS1,148898,ENSG00000249087
miRNet-lnc-266,MIMAT0000066,hsa-let-7e-5p,SNHG12,85028,ENSG00000197989
